(35822, 3525)
(35906, 5137)
(35907, 5136)
(36127, 2993)
(36128, 2992)
(36248, 993)
(36309, 250)
(36620, 1276)
(36621, 1277)
(36721, 4892)
(37040, 1908)
(37129, 5065)
(37130, 5064)
(37131, 5063)
(37436, 354)
(37520, 380)
(37520, 787)
(37520, 3618)
(37521, 381)
(39248, 4401)
(39500, 1657)
(40190, 3182)
(40191, 3183)
(40359, 630)
(41639, 1528)
(41709, 1125)
(41710, 5422)
(41710, 1124)
(41710, 5413)
(41711, 5423)
(41711, 1123)
(41711, 5412)
(41712, 5424)
(41712, 5411)
(41713, 5425)
(41805, 4929)
(42781, 1667)
(42782, 1666)
(42957, 190)
(42958, 191)
(44159, 618)
(44334, 162)
(44334, 927)
(44334, 2580)
(44470, 1127)
(44471, 1128)
(44472, 1129)
(44473, 1130)
(45108, 5423)
(45108, 1123)
(45108, 5412)
(45419, 1515)
(45419, 2940)
(45834, 3514)
(46452, 741)
(46453, 742)
(46454, 743)
(46669, 173)
(46754, 4016)
(46987, 1593)
(47389, 3461)
(47390, 3462)
(47391, 3463)
(47392, 3464)
(47393, 3465)
(47424, 4550)
(47739, 2879)
(47740, 2880)
(48760, 1517)
(48761, 1516)
(48762, 1515)
(48762, 2940)
(48763, 2939)
(48764, 2938)
(49060, 3441)
(49061, 3442)
(49097, 4925)
(49455, 3882)
(49866, 4627)
(50354, 5250)
(50355, 5251)
(50491, 783)
(51074, 2797)
(51098, 2102)
(51099, 2103)
(51149, 1419)
(51151, 111)
(51151, 1024)
(51706, 5)
(51707, 6)
(51774, 2623)
(52405, 5293)
(52689, 3327)
(52956, 2436)
(52957, 2435)
(52957, 4319)
(53467, 3516)
(53467, 3995)
(53468, 3515)
(53668, 2646)
(53669, 2647)
(54289, 3079)
(54294, 2013)
(54625, 4180)
(54837, 187)
(54837, 1496)
(54838, 188)
(54838, 1495)
(54838, 2350)
(55530, 5565)
(55558, 1944)
(56059, 188)
(56059, 1495)
(56059, 2350)
(56060, 189)
(56061, 190)
(57906, 2041)
(57907, 2042)
(57908, 2043)
(57908, 3013)
(58171, 205)
(58289, 1389)
(58289, 1408)
(58482, 511)
(58482, 1164)
(58482, 4786)
(58483, 1163)
(58484, 1162)
(58794, 550)
(58983, 5642)
(58984, 5641)
(59131, 1841)
(59132, 1840)
(59460, 1740)
(60018, 4242)
(60032, 435)
(60741, 4506)
(62078, 286)
(62280, 3456)
(62281, 3457)
(62556, 1447)
(62557, 1446)
(62597, 787)
(62597, 3618)
(62597, 380)
(62598, 788)
(62959, 3950)
(62960, 3949)
(63667, 2770)
(63961, 249)
(64937, 4288)
(64938, 4289)
(65339, 5175)
(65398, 3902)
(65857, 497)
(65870, 3967)
(66138, 3074)
(66139, 3073)
(66728, 4471)
(66729, 4472)
(66751, 3038)
(67630, 3917)
(68186, 4461)
(68186, 1551)
(68187, 4462)
(68188, 4463)
(68189, 4464)
(68336, 936)
(68512, 1915)
(68512, 2553)
(68513, 2552)
(68514, 2551)
(68724, 1763)
(69228, 3161)
(69347, 162)
(69347, 927)
(69347, 2580)
(69348, 163)
(69348, 2579)
(69349, 164)
(69349, 2578)
(69350, 165)
(69351, 166)
(69352, 167)
(69353, 168)
(69478, 3307)
(70555, 3079)
(71065, 4281)
(71066, 4282)
(71203, 787)
(71203, 3618)
(71203, 380)
(71635, 3609)
(71761, 3516)
(71761, 3995)
(72437, 5092)
(73366, 5237)
(74042, 382)
(74043, 383)
(74848, 1303)
(75517, 3465)
(75518, 3464)
(76018, 988)
(76807, 2231)
(76807, 3880)
(76807, 2725)
(76808, 3881)
(76808, 2724)
(77585, 1492)
(78080, 4728)
(78081, 4727)
(78082, 4726)
(78083, 4725)
(78254, 2445)
(78762, 1552)
(78762, 4460)
(78767, 573)
(78958, 5466)
(78959, 5465)
(79006, 5592)
(79254, 777)
(79921, 1603)
(80270, 2336)
(80271, 2335)
(80628, 1873)
(80628, 2319)
(80628, 2977)
(81143, 1611)
(81144, 1612)
(81345, 4282)
(81894, 4278)
(81895, 4279)
(82019, 6)
(82547, 858)
(84127, 1623)
(84228, 571)
(84923, 2928)
(85200, 1648)
(85713, 2022)
(86123, 2351)
(86124, 188)
(86124, 1495)
(86124, 2350)
(86197, 2043)
(86197, 3013)
(86198, 3014)
(86682, 4829)
(86683, 4828)
(86684, 4827)
(86690, 3401)
(86691, 3400)
(86748, 3278)
(86749, 3277)
(87102, 5243)
(87458, 1823)
(87605, 224)
(87605, 5241)
(87605, 3391)
(87653, 2586)
(88356, 4461)
(88356, 1551)
(88357, 1550)
(88358, 1549)
(88987, 3903)
(89065, 1505)
(89065, 2941)
(89066, 1515)
(89066, 2940)
(89149, 3613)
(90231, 4287)
(90257, 4380)
(90929, 4222)
(90930, 4223)
(91201, 2727)
(91931, 3898)
(91931, 4092)
(91931, 5099)
(92294, 116)
(92448, 1173)
(92449, 1174)
(92631, 3496)
(93443, 442)
(93444, 443)
(93549, 3364)
(93930, 3277)
(93931, 3276)
(94595, 3521)
(94596, 3522)
(94745, 2277)
(95168, 5649)
(95364, 3179)
(95418, 5255)
(95419, 5256)
(95823, 4485)
(95824, 4484)
(97183, 5031)
(97184, 5032)
(97592, 3104)
(97642, 2851)
(97643, 2852)
(98208, 2536)
(98526, 4989)
(98529, 2679)
(98718, 417)
(98895, 238)
(99133, 1969)
(99159, 2230)
(99160, 2231)
(99160, 3880)
(99160, 2725)
(99161, 3881)
(99161, 2724)
(99314, 4852)
(99581, 1131)
(99839, 3111)
(100423, 3331)
